2424|Bead Diamond|0|29|Item[DiamondSpar]|Magic / Crystallization|N/A
2213|Golden Broadsword|80|40|Weapon[Sword]|Gold / Iron / Steel / Titanium|Atk +45 | Def +35
2278|Green Boots-3|80|40|Armor[Shoes]|Feather / Grass / Nylon|DEF +20 | MDEF +20
1453|Holy Medal|80|40|Armor[Special]|Iron / Silver|Def +20 | MDef +20
2889|Lightflare Blade|80|40|Weapon[Blade]|Pure Iron / Steel / Hard Tissue|Atk +50 | Def +30
1622|Magic Clothes|80|40|Armor[Body]|Grass / Gold / Leather|Atk +30 | Spd +10
2700|Mercury Boots|80|40|Armor[Shoes]|Fur / Leather / Nylon|Def +28 | MDef +12
2231|Moonlight Wand|80|40|Weapon[Wand]|Tin / Steel / Jade / Corundum / Magic|MAtk +55 | MDef +25
2517|Orange Leather Boots|80|40|Armor[Shoes]|Leather / Feather / Nylon|Def +25 | Spd +15
2690|Ragesteel Bracers|80|40|Armor[Arm]|Iron / Gold / Pure Iron|Atk +25 | Spd +15
2660|Scythe of Wrath|80|40|Weapon[Blade]|Hard Tissue / Copper / Steel / Titanium|Atk +40 | Def +40
1867|Shadow Armor|80|40|Armor[Body]|Copper / Iron / Steel|Def +28 | Atk +12
2698|Sterling Earrings|80|40|Armor[Special]|Silver / Jade / Platinum|MDef +20 | MAtk +20
2226|Wand of Defiance|80|40|Weapon[Wand]|Magic / Flower / Tin / Titanium / Feather|MAtk +54 | MDef +26
2687|Bandana of Zeal|82|41|Armor[Head]|Fur / Feather / Crystallization|Spd +28 | Atk +13
2535|Blackdragon Gown|82|41|Armor[Body]|Leather / Nylon / Magic|MAtk +35 | Def +6
2523|Ghost Halberd (2)|82|41|Weapon[Spear]|Wood / Iron / Steel|Atk +62 | Spd +20
2528|Pure Necklace|82|41|Armor[Special]|Crystallization / Silver / Corundum|MDef +28 | MAtk +13
2232|Sacred Wand|82|41|Weapon[Wand]|Silver / Iron / Steel / Jade / Corundum|MAtk +60 | MDef +22
2674|Shimmeros Armor|82|41|Armor[Body]|Platinum / Silver / Pure Iron / Steel / Crystallization|Def +41
2511|Snow Wand|82|41|Weapon[Wand]|Jade / Silver / Steel|MAtk +44 | MDef +38
3008|Spiritseal Staff|82|41|Weapon[Wand]|Tin / Copper / Magic / Jade|MATK +14 | MDEF +68
2510|Superior Bracers|82|41|Armor[Arm]|Steel / Iron|Def +28 | Atk +13
2677|Darkdusk Armor|84|42|Armor[Body]|Copper / Rock / Iron / Titanium|Def +42
2516|Dragon Bracers|84|42|Armor[Arm]|Iron / Titanium / Hard Tissue|Def +25 | Atk +17
2892|Dusk Claw|84|42|Weapon[Claw]|Rock / Steel / Titanium / Hard Tissue|Atk +48 | Spd +36
2216|Frozen Dragon Sword|84|42|Weapon[Sword]|Hard Tissue / Copper / Iron / Steel / Titanium|Atk +50 | Spd +34
2512|Hero Suit|84|42|Armor[Body]|Leather / Copper / Steel|Atk +21 | Spd +21
1389|Lord Gown|84|42|Armor[Body]|Flower / Grass / Gold|MAtk +42
850|Swan Wing Helmet|0|42|Armor[Head]|Steel / Gold / Titanium|Def +30 | Spd +12
3606|Berserker's Ax|86|43|Weapon[Ax]|Steel / Copper / Pure Iron / Aluminum / Titanium|Atk +46 | Def +40
3544|Dark Demon Wan|86|43|Weapon[Wand]|Aluminum / Steel / Corundum / Titanium|MAtk +65 | MDef +21
2540|Demon Halberd|86|43|Weapon[Spear]|Quartz (Crystal) / Wood / Aluminum / Steel / Titanium|Atk +66 | Spd +20
3376|Jade Blades|86|43|Weapon[Sword]|Titanium / Aluminum / Steel / Corundum|Atk +48 | Def +38
2507|Jade Silk Cloth|86|43|Armor[Body]|Feather / Grass / Nylon|MDef +30 | MAtk +13
1180|Light Kung-Fu Suit|86|43|Armor[Body]|Flower / Leather|Spd +23 | Atk +20
2506|Silver Eagle Wand|86|43|Weapon[Wand]|Corundum / Aluminum / Steel / Titanium|MDef +65 | MAtk +21
3012|Xin's Blade|86|43|Weapon[Sword]|Titanium / Pure Iron / Iron / Steel / Gold|ATK +51 | SPD +45
2667|Alabaster Mace|88|44|Weapon[Wand]|Tin / Steel / Corundum / Magic|MDef +58 | MAtk +30
2876|Draconic Knife|88|44|Weapon[Blade]|Iron / Pure Iron / Steel / Titanium / Hard Tissue|Atk +56 | Def +32
2604|Dragoon's Battlerobe|88|44|Armor[Body]|Flower / Leather / Feather / Magic|MAtk +40 | Def +4
2494|Evil Dragon Blades|88|44|Weapon[Sword]|Crystallization / Pure Iron / Tin / Steel / Titanium|Atk +54 | Spd +34
2675|Polar Ultima|88|44|Armor[Body]|Feather / Grass / Titanium / Leather / Magic|MAtk +44
2664|Pyreplume Epee|88|44|Weapon[Sword]|Pure Iron / Copper / Steel / Titanium / Magic|MAtk +45 | Spd +43
2916|Shadowy Sickle|88|44|Weapon[Blade]|Hard Tissue / Copper / Pure Iron / Steel / Titanium|Atk +60 | Spd +28
2669|Staff of Mars|88|44|Weapon[Wand]|Silver / Pure Iron / Steel / Titanium / Magic|MAtk +65 | MDef +23
2874|Twin Dracoblade|88|44|Weapon[Sword]|Titanium / Gold / Copper / Steel / Hard Tissue|Atk +50 | Spd +38
2917|Violahaze Battlerobe|88|44|Armor[Body]|Leather / Nylon / Fur|Def +30 | Atk +14
2242|Wizard Suit|88|44|Armor[Body]|Grass / Feather / Nylon / Magic|MAtk +22 | MDef +22
3705|Wolfsilva Batt|88|44|Armor[Body]|Copper / Steel / Hard Tissue / Nylon|Spd +28 | Atk +16
2541|Yin Yang Suit|88|44|Armor[Body]|Magic / Grass / Leather / Feather|MAtk +28 | MDef +16
3010|Chaos Hammer|2|45|Weapon[Club]|Iron|Atk +65 | Spd +25
3411|Dragon's Wing|90|45|Weapon[Spear]|Steel|Atk +90
1632|Fire-red Boots|90|45|Armor[Shoes]|Leather / Flower|Def +30 | Spd +15
53|Gold Swan Helmet|0|45|Armor[Head]|Gold|Def +35 | Spd +10
3011|Mystic Eagle Headdress|90|45|Armor[Head]|Platinum|MAtk +30 | Spd +15
1654|Wild Boots|90|45|Armor[Shoes]|Nylon / Leather|Def +37 | Spd +8
698|Defence Armor|100|50|Armor[Body]|Gold|DEF +50
55|Snow Ears|0|50|Armor[Head]|Leather / Magic / Fur|Atk +30 | Spd +20
1573|Gold Golves|120|60|Armor[Arm]|Gold / Magic|ATK +30 | MATK +30
